8120,0,0,0,22,0,0,37,14,0,0,0,252,0,0
0,1545,1,0,0,0,0,0,0,0,232,18,0,0,0
7,27,894,28,759,0,87,759,53,0,73,1218,4,0,4
1,0,0,1345,1231,0,359,478,51,0,4,0,22,0,0
2,0,0,73,2440,0,149,547,565,0,259,1,0,0,23
0,0,6,0,0,492,0,0,1,0,0,5,0,0,0
4,0,1,202,424,0,1456,121,0,0,18,1,0,0,41
3,0,0,96,704,0,116,1951,5,0,7,0,1,0,0
0,0,0,0,450,0,1,4,2934,0,134,76,0,0,0
0,188,0,0,0,0,0,0,0,2,824,2,0,0,42
0,40,0,9,427,2,163,10,141,0,2201,137,0,0,126
0,112,219,0,0,0,0,0,51,1,201,2215,0,0,0
190,0,0,32,0,0,0,2,0,0,0,0,1602,0,0
0,1,0,0,217,0,27,1,352,0,624,109,0,0,16
0,0,0,3,15,0,282,0,0,0,309,0,0,0,624
